Genome ID,Genome Name_x,Superkingdom,Family,Genome Quality,BioProject Accession,BioSample Accession,Assembly Accession,GenBank Accessions,Isolation Source,Collection Year,Isolation Country,Geographic Location,region,antibiotic_name,phenotype_label,gene_blaCTX_M,gene_blaSHV,gene_fosA,gene_blaNDM,gene_qnrB
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,tetracycline,1,0,1,1,0,0
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,aztreonam,0,0,1,1,0,0
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,ertapenem,0,0,1,1,0,0
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,gentamicin,0,0,1,1,0,0
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,ciprofloxacin,0,0,1,1,0,0
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,meropenem,0,0,1,1,0,0
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,cefepime,0,0,1,1,0,0
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,levofloxacin,0,0,1,1,0,0
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,trimethoprim/sulfamethoxazole,0,0,1,1,0,0
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,imipenem,0,0,1,1,0,0
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,tobramycin,0,0,1,1,0,0
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,piperacillin/tazobactam,0,0,1,1,0,0
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,cefoxitin,0,0,1,1,0,0
573.17797,Klebsiella pneumoniae strain KPF39,Bacteria,Enterobacteriaceae,NA,PRJNA321570,SAMN04992849,GCA_002872205.1,LZGC00000000,urine,2013,India,India,Other,amikacin,0,0,1,1,0,0
573.18455,Klebsiella pneumoniae strain HPCN5,Bacteria,Enterobacteriaceae,Good,PRJNA472010,SAMN09223500,GCA_003171755.1,QGHI00000000,Domestic sewage,2016,India,India: Nagpur,Other,ertapenem,0,0,1,1,0,0
573.18455,Klebsiella pneumoniae strain HPCN5,Bacteria,Enterobacteriaceae,Good,PRJNA472010,SAMN09223500,GCA_003171755.1,QGHI00000000,Domestic sewage,2016,India,India: Nagpur,Other,ciprofloxacin,0,0,1,1,0,0
573.18455,Klebsiella pneumoniae strain HPCN5,Bacteria,Enterobacteriaceae,Good,PRJNA472010,SAMN09223500,GCA_003171755.1,QGHI00000000,Domestic sewage,2016,India,India: Nagpur,Other,aztreonam,0,0,1,1,0,0
