state,region,antibiotic_name,phenotype_label,year,pathogen,feature_importance,chi_square_value
Nizampet,Hyderabad,Amikacin,0,2022,E. coli,0.619494,282.4147
Ameerpet,Hyderabad,Nitrofurantoin,0,2023,E. coli,0.619494,282.4147
Miyapur,Hyderabad,Nitrofurantoin,0,2024,E. coli,0.619494,282.4147
Kukatpally,Hyderabad,Vancomycin,0,2022,S. aureus,0.619494,94.7278
Bachupally,Hyderabad,Amikacin,0,2024,K. pneumoniae,0.619494,333.1863
Bachupally,Hyderabad,Ceftriaxone,1,2021,K. pneumoniae,0.619494,333.1863
Bachupally,Hyderabad,Clindamycin,1,2024,S. aureus,0.619494,94.7278
Gachibowli,Hyderabad,Nitrofurantoin,0,2024,E. coli,0.619494,282.4147
Kukatpally,Hyderabad,Ceftriaxone,1,2022,E. coli,0.619494,282.4147
Miyapur,Hyderabad,Vancomycin,0,2023,S. aureus,0.619494,94.7278
Bachupally,Hyderabad,Ceftriaxone,1,2022,K. pneumoniae,0.619494,333.1863
Ameerpet,Hyderabad,Vancomycin,0,2024,S. aureus,0.619494,94.7278
Gachibowli,Hyderabad,Amikacin,0,2023,E. coli,0.619494,282.4147
Bachupally,Hyderabad,Meropenem,0,2023,E. coli,0.619494,282.4147
Bachupally,Hyderabad,Ceftriaxone,1,2022,E. coli,0.619494,282.4147
Bachupally,Hyderabad,Linezolid,0,2022,S. aureus,0.619494,94.7278
Bachupally,Hyderabad,Ceftriaxone,1,2021,K. pneumoniae,0.619494,333.1863
Nizampet,Hyderabad,Nitrofurantoin,0,2022,E. coli,0.619494,282.4147
Nizampet,Hyderabad,Nitrofurantoin,0,2023,E. coli,0.619494,282.4147
Bachupally,Hyderabad,Ciprofloxacin,1,2024,E. coli,0.619494,282.4147
Kukatpally,Hyderabad,Nitrofurantoin,0,2023,E. coli,0.619494,282.4147
Bachupally,Hyderabad,Amikacin,1,2023,K. pneumoniae,0.619494,333.1863
Bachupally,Hyderabad,Colistin,0,2024,K. pneumoniae,0.619494,333.1863
Nizampet,Hyderabad,Meropenem,1,2024,K. pneumoniae,0.619494,333.1863
Nizampet,Hyderabad,Ciprofloxacin,1,2024,E. coli,0.619494,282.4147
Miyapur,Hyderabad,Ceftriaxone,0,2023,K. pneumoniae,0.619494,333.1863
Bachupally,Hyderabad,Colistin,0,2022,K. pneumoniae,0.619494,333.1863
Nizampet,Hyderabad,Clindamycin,0,2021,S. aureus,0.619494,94.7278
Kukatpally,Hyderabad,Amikacin,1,2024,K. pneumoniae,0.619494,333.1863
Bachupally,Hyderabad,Linezolid,0,2021,S. aureus,0.619494,94.7278
Kukatpally,Hyderabad,Ceftriaxone,1,2022,E. coli,0.619494,282.4147
Bachupally,Hyderabad,Amikacin,1,2023,E. coli,0.619494,282.4147
Bachupally,Hyderabad,Meropenem,0,2023,K. pneumoniae,0.619494,333.1863
Ameerpet,Hyderabad,Colistin,0,2023,K. pneumoniae,0.619494,333.1863
Ameerpet,Hyderabad,Ciprofloxacin,1,2022,E. coli,0.619494,282.4147
Gachibowli,Hyderabad,Ceftriaxone,0,2022,E. coli,0.619494,282.4147
